date,vaccinated_0,vaccinated_NA,vaccinated_0.5,vaccinated_1
2020-03-05,6.331117442228553e-4,0.9993668882557771,NA,NA
2020-03-12,6.548788474132286e-4,0.9993451211525868,NA,NA
2020-03-19,0.002473086994471923,0.9975269130055281,NA,NA
2020-03-26,0.0011545677586953383,0.9988454322413046,NA,NA
2020-04-02,7.222302470027445e-4,0.9992777697529972,NA,NA
2020-04-09,7.730962504831851e-4,0.9992269037495168,NA,NA
2020-04-16,0.0032098044937262913,0.9967901955062737,NA,NA
2020-04-23,0.004155124653739612,0.9958448753462604,NA,NA
2020-04-30,0.001962066710268149,0.9980379332897319,NA,NA
2020-05-07,0.0016220600162206002,0.9983779399837794,NA,NA
2020-05-14,NA,1,NA,NA
2020-05-21,0.0027675276752767526,0.9972324723247232,NA,NA
2020-05-28,9.380863039399625e-4,0.99906191369606,NA,NA
2020-06-04,NA,1,NA,NA
2020-06-11,NA,1,NA,NA
2020-06-18,0.005859375,0.994140625,NA,NA
2020-06-25,0.0044742729306487695,0.9955257270693513,NA,NA
2020-07-02,0.0064,0.9936,NA,NA
2020-07-09,0.0035087719298245615,0.9964912280701754,NA,NA
2020-07-16,0.0031486146095717885,0.9968513853904282,NA,NA
2020-07-23,0.0017445917655268667,0.9982554082344731,NA,NA
2020-07-30,2.421893921046258e-4,0.9997578106078954,NA,NA
2020-08-06,2.583311805734952e-4,0.9997416688194265,NA,NA
2020-08-13,0.00058275058275058275,0.9994172494172494,NA,NA
2020-08-20,0.0015182186234817814,0.9984817813765182,NA,NA
2020-08-27,4.771751232702402e-4,0.9995228248767297,NA,NA
2020-09-03,2.7904380987815085e-4,0.9997209561901218,NA,NA
2020-09-10,6.156119182467373e-5,0.9999384388081753,NA,NA
2020-09-17,4.728355950635964e-5,0.9999527164404937,NA,NA
2020-09-24,4.316591126321956e-4,0.9995683408873678,NA,NA
2020-10-01,1.288992008249549e-4,0.9998711007991751,NA,NA
2020-10-08,2.454547048407174e-4,0.9997545452951593,NA,NA
2020-10-15,1.3899184581171237e-4,0.9998610081541883,NA,NA
2020-10-22,3.9870240490041503e-4,0.9996012975950996,NA,NA
2020-10-29,4.199189803379113e-4,0.9995800810196621,NA,NA
2020-11-05,8.145312372729494e-5,0.9999185468762727,NA,NA
2020-11-12,3.30660494337439e-4,0.9996693395056626,NA,NA
2020-11-19,7.454453290395682e-4,0.9992545546709605,NA,NA
2020-11-26,3.6760482481332566e-4,0.9996323951751866,NA,NA
2020-12-03,6.836139330058346e-4,0.9993163860669941,NA,NA
2020-12-10,5.995662712080622e-4,0.999400433728792,NA,NA
2020-12-17,0.0010446473179815596,0.9989553526820184,NA,NA
2020-12-24,0.003756811545686176,0.9962431884543138,NA,NA
2020-12-31,0.03221633608476038,0.9677836639152396,NA,NA
2021-01-07,0.6138814016172507,0.3861185983827493,NA,NA
2021-01-14,0.920517454034363,0.07899492298425265,4.876229813842756e-4,NA
2021-01-21,0.9033863501896774,0.09421222984025336,0.0024014199700692586,NA
2021-01-28,0.9029148763209848,0.09224635156582665,0.004838772113188557,NA
2021-02-04,0.9027232530269846,0.0855820488449936,0.011694698128021819,NA
2021-02-11,0.9060577947290658,0.075696663574201975,0.017833213070817443,4.123286259148541e-4
2021-02-18,0.9192510801728276,0.06781885101616258,0.011905904944791167,0.001024163866218595
2021-02-25,0.9217610062893081,0.0681132075471698,0.008459119496855346,0.0016666666666666668
2021-03-04,0.921318380188775,0.06581751750735816,0.010428295950471938,0.002435806353394905
2021-03-11,0.9211894773640972,0.06255462331760182,0.012869253626988288,0.0033866456913127074
2021-03-18,0.9212847202031362,0.059642185652536296,0.01504138318698998,0.00403171095733752
2021-03-25,0.9186174750816738,0.060136920739954636,0.016813367459475207,0.0044322367188963105
2021-04-01,0.9155609892973103,0.062111676754720006,0.017056159057201266,0.0052711748907684295
2021-04-08,0.9087240045591285,0.06369700480203293,0.021992189689642932,0.005586800949195613
2021-04-15,0.903697457885578,0.0646561776789078,0.025421144220591666,0.0062252202149225885
2021-04-22,0.8938392541012629,0.06597427121444589,0.03253471812423778,0.007651756560053504
2021-04-29,0.8852145100907957,0.06624639614441241,0.04029863591376565,0.008240457851026292
2021-05-06,0.8755476912706438,0.06415009549488822,0.05044377036288058,0.009858442871587462
2021-05-13,0.8696464665725945,0.0681133442660463,0.05198123641356165,0.010258952747797567
2021-05-20,0.8692855729269741,0.06758361369483475,0.051405105877696415,0.011725707500494755
2021-05-27,0.8696125084976206,0.06403806934058463,0.05227736233854521,0.01407205982324949
2021-06-03,0.848630887185104,0.07864184008762322,0.054983570646221246,0.017743702081051478
2021-06-10,0.8264755480607082,0.07774030354131535,0.07352445193929173,0.022259696458684655
2021-06-17,0.7757249766136576,0.1019644527595884,0.0921421889616464,0.030168381665107578
2021-06-24,0.7401069518716578,0.12219251336898396,0.09973262032085561,0.03796791443850268
2021-07-01,0.7001975383680292,0.15928430329737123,0.09006989819176417,0.05044826014283543
2021-07-08,0.5811842673966288,0.17608413773231524,0.16673390001440713,0.0759976948566489
2021-07-15,0.5233995057003906,0.14658906694304924,0.22134523904435408,0.10866618831220601
2021-07-22,0.513827103875258,0.1372620958495758,0.2053657418023389,0.14354505847282734
2021-07-29,0.5091713736679672,0.14033657485587842,0.16496826413556165,0.1855237873405928
2021-08-05,0.5103651922381583,0.14270218151138966,0.12872122453899,0.21821140171146197
2021-08-12,0.548383283088018,0.14222379854584147,0.08588993320328664,0.22350298516285394
2021-08-19,0.5569011472940085,0.136342565766601,0.05562637617336887,0.25112991076602154
2021-08-26,0.5762514551804424,0.12945285215366706,0.040162980209545986,0.2541327124563446
2021-09-02,0.5924209207641716,0.12301910429063577,0.03250861259004072,0.2520513623551519
2021-09-09,0.5862790523877139,0.12263657424706674,0.030042597713175398,0.26104177565204395
2021-09-16,0.5571182053494391,0.1182053494391717,0.026488352027610008,0.29818809318377915
2021-09-23,0.5375961617999835,0.10662585821821491,0.023988750103399785,0.33178922987840187
2021-09-30,0.5005633168093736,0.1157616043262731,0.023546642631816134,0.36012843623253715
2021-10-07,0.46798010564059067,0.12950611096117515,0.025292053822724293,0.37722172957550987
2021-10-14,0.42821268417680974,0.1395771941063421,0.0300832799487508,0.4021268417680974
2021-10-21,0.3922821173745751,0.14638200904030782,0.02684074862714334,0.43449512495797377
2021-10-28,0.3987406938064312,0.1447806114367179,0.022638470880194307,0.43384022387665666
2021-11-04,0.3412743773597977,0.2579064047940698,0.016055284214901797,0.38476393363123074
2021-11-11,0.34047736267670925,0.3266794969341628,0.012909124621965333,0.3199340157671626
2021-11-18,0.34571769425398863,0.33212286474652264,0.013024554595629203,0.3091348864038595
2021-11-25,0.3412995718792249,0.3254140378548896,0.014146293375394322,0.3191400968904912
2021-12-02,0.39010912387128266,0.22766969982219434,0.015409824634801101,0.3668113516717219
2021-12-09,0.39838438520993474,0.1548579464351798,0.017118326865939924,0.4296393414889455
2021-12-16,0.3273355995780096,0.17332082991442974,0.02427616926503341,0.4750674012425273
2021-12-23,0.2191218787710016,0.305458089668616,0.02736470806646245,0.44805532349391997
2021-12-30,0.13048309486164072,0.5651020378193424,0.023775374840298208,0.28063949247871867
2022-01-06,0.13347123600308064,0.6527957548558272,0.016838641779670243,0.19689436736142193
2022-01-13,0.10374336487422109,0.8126055850450035,0.006402030925455804,0.07724901915531963
2022-01-20,0.06471938415584684,0.8794396286214741,0.004083030217520725,0.051757957005158416
2022-01-27,0.05690026470456279,0.8858245258711857,0.004001012671208732,0.05327419675304282
2022-02-03,0.06269450651896738,0.8608209766406116,0.005589644859739868,0.07089487198068106
2022-02-10,0.0771977876944385,0.7558420828714012,0.011226115391423434,0.15573401404273687
2022-02-17,0.0533559257433331,0.7856275815211763,0.009209583269464203,0.15180690946602646
2022-02-24,0.0182976718815858,0.9136687080058513,0.0032479607269481564,0.06478565938561476
