part_age_group,round,cuminf_mean,cuminf_lower,cuminf_upper,date
0-9,1,0,NA,NA,2020-04-04
10-19,1,0.013172026297553088,0.003634509836675917,0.033223134618600936,2020-04-03
20-29,1,0.04801916692950403,0.01356427419860652,0.1170302167632149,2020-04-04
30-39,1,0.027273331956761213,0.01216021949275962,0.05216745674566048,2020-04-03
40-49,1,0.01332672061191882,0.004562673148983848,0.029990705458384892,2020-04-03
50-59,1,0.01197733002806882,0.0040811598083745505,0.027044233201955925,2020-04-03
60-69,1,0.025550585658087537,0.011090952827209944,0.049730883742683196,2020-04-02
70+,1,0.0321698059566426,0.011862574764908531,0.06881005287898267,2020-04-03
0-9,2,0.0071175637978801495,0.00223456866821361,0.016851416969971944,2020-06-15
10-19,2,0.035761973158729185,0.017679637755329727,0.06381180697584965,2020-06-14
20-29,2,0.07735914635944158,0.05013397972486759,0.11301851185501366,2020-06-13
30-39,2,0.04095684089633738,0.02681935408619728,0.05962193192595855,2020-06-14
40-49,2,0.0413091909568492,0.026466294277419332,0.06115834739692361,2020-06-15
50-59,2,0.04662042920489356,0.03394127347366839,0.06228713780505091,2020-06-15
60-69,2,0.049100831354211595,0.03641215941726028,0.06459051833911911,2020-06-14
70+,2,0.044737098319540154,0.03056658168597448,0.06295052077727681,2020-06-15
0-9,3,0.0044027204899458345,8.442705545425979e-4,0.013229787392578518,2020-09-28
10-19,3,0.03232899452276468,0.01973287674863585,0.04972401322088116,2020-09-28
20-29,3,0.09710235287230769,0.06827175670346979,0.13291337990148067,2020-09-28
30-39,3,0.04931008406723823,0.03203773695638869,0.072148463101539,2020-09-29
40-49,3,0.051899437433226496,0.030157519319698886,0.08250866794322231,2020-09-29
50-59,3,0.05265380865842402,0.03972039188001322,0.06826081088902602,2020-09-28
60-69,3,0.04992952770109777,0.0369267045466493,0.06582598438540455,2020-09-28
70+,3,0.04728414627050802,0.032275820063991344,0.0665692564774184,2020-09-28
0-9,4,0.06267384660318763,0.03418818163557285,0.10395163850194777,2021-02-17
10-19,4,0.12498989224462881,0.09001868170847169,0.1674586326347648,2021-02-17
20-29,4,0.21234317087615892,0.174568257275258,0.25413996664336247,2021-02-17
30-39,4,0.12696750016637706,0.09638402172740508,0.16302910889031108,2021-02-17
40-49,4,0.12226841204186253,0.09408356728303827,0.15529242975868207,2021-02-17
50-59,4,0.12536370078106873,0.1058763776965457,0.14699017779080592,2021-02-17
60-69,4,0.08908293344521648,0.07226244795330913,0.10833403298566502,2021-02-17
70+,4,0.0958163984606103,0.07504168720728469,0.12006766754427989,2021-02-16
0-9,5,0.16005380631609992,0.10697874275962352,0.22614446920663678,2021-06-24
10-19,5,0.22870098222348442,0.17308743983623825,0.2923347702778083,2021-06-24
20-29,5,0.2758611996386237,0.22754014847432097,0.32839772365617725,2021-06-23
30-39,5,0.19954871386391548,0.15231062573447618,0.253910840675576,2021-06-23
40-49,5,0.18084440140638966,0.14330711373828708,0.22347895784429983,2021-06-23
50-59,5,0.21038089414101632,0.18384135141446256,0.23888242366019097,2021-06-23
60-69,5,0.16222458058365513,0.1373967857392363,0.1895572367668591,2021-06-23
70+,5,0.14976097986737358,0.1259940989449736,0.17608265358726127,2021-06-23
0-9,6,0.24002371257151925,0.1871352580442644,0.2995310713771957,2021-11-14
10-19,6,0.33277568896687765,0.27407296694871536,0.39558336581184905,2021-11-11
20-29,6,0.353102507455781,0.2896413492288823,0.4206353397927205,2021-11-10
30-39,6,0.2400397322964984,0.189239116601406,0.2969205864908977,2021-11-10
40-49,6,0.23129985256109403,0.19690561010954039,0.268569572981905,2021-11-09
50-59,6,0.2806705417356449,0.24566969352901163,0.31776826133382097,2021-11-09
60-69,6,0.19405988981719904,0.16476818715009098,0.22607540847929386,2021-11-09
70+,6,0.18440367475738534,0.1570777763957892,0.21427364714461217,2021-11-08
0-9,7,0.6890591998496604,0.6113019674794055,0.7596785245658332,2022-03-24
10-19,7,0.7794758706678246,0.7104854061664841,0.8386932307810964,2022-03-23
20-29,7,0.7380492522763848,0.6602818323638723,0.8062142992314902,2022-03-22
30-39,7,0.6725010160757325,0.609241829572001,0.7314438458088633,2022-03-23
40-49,7,0.5870741364180185,0.517749391174195,0.653938410697558,2022-03-23
50-59,7,0.5667464518953417,0.5253552304679067,0.6074562549826161,2022-03-23
60-69,7,0.43809324835297425,0.3988199282839086,0.47795247593653967,2022-03-22
70+,7,0.3307298381801652,0.29433914128972916,0.36869208541565224,2022-03-22
0-9,8,0.75080085276752,0.6501326602912794,0.8348470482040876,2022-06-22
10-19,8,0.89112679258742,0.8401569472555515,0.9302961865551,2022-06-22
20-29,8,0.7771490060608919,0.6964151076654679,0.8450099196767791,2022-06-21
30-39,8,0.7752353508266847,0.7064533367916785,0.8345357434484275,2022-06-22
40-49,8,0.7345834611746576,0.668427558826283,0.7937895706027528,2022-06-21
50-59,8,0.6715028529878936,0.6344366114608176,0.7070450690812291,2022-06-21
60-69,8,0.5842531547879812,0.5422567836780854,0.6253589541674351,2022-06-21
70+,8,0.46616702759931533,0.4209506492940375,0.5118003215668926,2022-06-21
0-9,9,0.8575860964101479,0.788741109953771,0.9107369159507145,2022-11-09
10-19,9,0.9368468046298722,0.8809321423272122,0.9717360534993542,2022-11-09
20-29,9,0.8921694086730617,0.7940092044596028,0.9541100879682516,2022-11-09
30-39,9,0.8790953038644307,0.8246062045589472,0.9214981838863682,2022-11-09
40-49,9,0.8820066178705622,0.8394575854208426,0.9166057099518142,2022-11-08
50-59,9,0.8342884371570043,0.8014198367173663,0.8636933109584514,2022-11-08
60-69,9,0.724201207603496,0.6811387713809725,0.7643818684684908,2022-11-08
70+,9,0.6074731847797923,0.5568387828240844,0.656449169483075,2022-11-09
0-9,10,0.9192917994115486,0.8632822830790012,0.9575924764857003,2023-04-25
10-19,10,0.9779834006223717,0.9508278495548494,0.992418504647045,2023-04-26
20-29,10,0.9183682271965675,0.8480193949736576,0.9630852829267723,2023-04-25
30-39,10,0.9511244328866063,0.9028229113116606,0.9798020810539972,2023-04-25
40-49,10,0.922926361075083,0.8772907477460705,0.9555960827487462,2023-04-26
50-59,10,0.9138306468476052,0.8885886073820016,0.934938708806957,2023-04-25
60-69,10,0.8486232696502531,0.8138432987677391,0.8791411141031662,2023-04-25
70+,10,0.7545718099825951,0.7141698605150159,0.7918982486562622,2023-04-25
0-9,11,0.9176275600743996,0.8041185206698531,0.9766363956610119,2023-11-07
10-19,11,0.988752680166509,0.9657229571663388,0.9979456033039558,2023-11-08
20-29,11,0.9394221030744879,0.8821159915147251,0.9742371965101763,2023-11-07
30-39,11,0.960314173821984,0.9251775205523785,0.9820130763534317,2023-11-07
40-49,11,0.9408531539756706,0.898307258138694,0.9693643500629143,2023-11-06
50-59,11,0.9297021682850707,0.9064459783857299,0.9486804276074161,2023-11-06
60-69,11,0.8930059782036831,0.8611761110261552,0.919682464038809,2023-11-06
70+,11,0.8121239343113121,0.7763216675512162,0.8444199465878303,2023-11-06
